Date,Open,High,Low,Close,Adj Close,Volume
24/4/2020,172.0599976,174.5599976,170.7100067,174.5500031,169.7328186,34277600
27/4/2020,176.5899963,176.8999939,173.3000031,174.0500031,169.2466125,33194400
28/4/2020,175.5899963,175.6699982,169.3899994,169.8099976,165.1236267,34392700
29/4/2020,173.2200012,177.6799927,171.8800049,177.4299927,172.5333099,51286600
30/4/2020,180,180.3999939,176.2299957,179.2100067,174.2642212,53875900
1/5/2020,175.8000031,178.6399994,174.0099945,174.5700073,169.7522736,39370500
4/5/2020,174.4900055,179,173.8000031,178.8399963,173.9044342,30372900
5/5/2020,180.6199951,183.6499939,179.8999939,180.7599945,175.7714386,36839200
6/5/2020,182.0800018,184.1999969,181.6300049,182.5399933,177.5023193,32139300
7/5/2020,184.1699982,184.5500031,182.5800018,183.6000061,178.5330505,28316000
8/5/2020,184.9799957,185,183.3600006,184.6799927,179.5832367,30877800
11/5/2020,183.1499939,187.5099945,182.8500061,186.7400055,181.5863953,30892700
12/5/2020,186.8000031,187.0399933,182.3000031,182.5099945,177.473114,32038200
13/5/2020,182.5500031,184.0500031,176.5399933,179.75,174.7893066,44711500
14/5/2020,177.5399933,180.6900024,175.6799927,180.5299988,175.5477753,41873900
15/5/2020,179.0599976,187.0599976,177,183.1600037,178.1051941,46610400
18/5/2020,185.75,186.1999969,183.9600067,184.9100037,179.8069,35264500
19/5/2020,185.0299988,186.6000061,183.4900055,183.6300049,178.5622101,26799100
20/5/2020,184.8099976,185.8500061,183.9400024,185.6600037,181.039032,31261300
21/5/2020,185.3999939,186.6699982,183.2899933,183.4299927,178.864502,29119500
22/5/2020,183.1900024,184.4600067,182.5399933,183.5099945,178.9425201,20826900
26/5/2020,186.3399963,186.5,181.1000061,181.5700073,177.0508118,36073600
27/5/2020,180.1999969,181.9900055,176.6000061,181.8099976,177.2848663,39517100
28/5/2020,180.7400055,184.1499939,180.3800049,181.3999939,176.8850555,33810200
29/5/2020,182.7299957,184.2700043,180.4100037,183.25,178.6889954,42130400
1/6/2020,182.5399933,183,181.4600067,182.8300018,178.2794647,22622400
2/6/2020,184.25,185,181.3500061,184.9100037,180.3076935,30794600
3/6/2020,184.8200073,185.9400024,183.5800018,185.3600006,180.74646,27311000
4/6/2020,184.3000031,185.8399963,182.3000031,182.9199982,178.367218,28761800
5/6/2020,182.6199951,187.7299957,182.0099945,187.1999969,182.5406799,39893600
8/6/2020,185.9400024,188.5500031,184.4400024,188.3600006,183.6717834,33211600
9/6/2020,188,190.6999969,187.2599945,189.8000031,185.0759735,29783900
10/6/2020,191.1300049,198.5200043,191.0099945,196.8399963,191.9407501,43872300
11/6/2020,193.1300049,195.7599945,186.0700073,186.2700043,181.6338501,52854700
12/6/2020,190.5399933,191.7200012,185.1799927,187.7400055,183.0672607,43373600
15/6/2020,184.5800018,190.8200073,184.0099945,188.9400024,184.2373657,32770200
16/6/2020,192.8899994,195.5800018,191.4600067,193.5700073,188.7521515,42556700
17/6/2020,195.0299988,196.3200073,193.6900024,194.2400055,189.4054718,25687800
18/6/2020,194,196.4900055,194,196.3200073,191.4336853,23061600
19/6/2020,198.5899963,199.2899933,194.3699951,195.1499939,190.2928162,44441100
22/6/2020,195.7899933,200.7599945,195.2299957,200.5700073,195.5779114,32818900
23/6/2020,202.0899963,203.9499969,201.4299927,201.9100037,196.884552,30917400
24/6/2020,201.6000061,203.25,196.5599976,197.8399963,192.9158478,36740600
25/6/2020,197.8000031,200.6100006,195.4700012,200.3399963,195.3536377,27803900
26/6/2020,199.7299957,199.8899994,194.8800049,196.3300018,191.4434509,54675800
29/6/2020,195.7799988,198.5299988,193.5500031,198.4400024,193.500946,26701600
30/6/2020,197.8800049,204.3999939,197.7400055,203.5099945,198.4447174,34310300
1/7/2020,203.1399994,206.3500061,201.7700043,204.6999969,199.6051178,32061200
2/7/2020,205.6799927,208.0200043,205,206.2599945,201.126297,29315800
6/7/2020,208.8300018,211.1300049,208.0899963,210.6999969,205.45578,31897600
7/7/2020,210.4499969,214.6699982,207.9900055,208.25,203.0667572,33600700
8/7/2020,210.0700073,213.2599945,208.6900024,212.8300018,207.5327454,33600000
9/7/2020,216.3300018,216.3800049,211.4700012,214.3200073,208.9856873,33121700
10/7/2020,213.6199951,214.0800018,211.0800018,213.6699982,208.3518524,26177600
13/7/2020,214.4799957,215.8000031,206.5,207.0700073,201.916153,38135600
14/7/2020,206.1300049,208.8500061,202.0299988,208.3500061,203.1642761,37591800
15/7/2020,209.5599976,211.3300018,205.0299988,208.0399933,202.8619995,32179400
16/7/2020,205.3999939,205.6999969,202.3099976,203.9199982,198.8445435,29940700
17/7/2020,204.4700012,205.0399933,201.3899994,202.8800049,197.8304291,31635300
20/7/2020,205,212.3000031,203.0099945,211.6000061,206.3334045,36884800
21/7/2020,213.6600037,213.9400024,208.0299988,208.75,203.5543213,37990400
22/7/2020,209.1999969,212.3000031,208.3899994,211.75,206.4796295,49605700
23/7/2020,207.1900024,210.9199982,202.1499939,202.5399933,197.4988861,67457000
24/7/2020,200.4199982,202.8600006,197.5099945,201.3000031,196.2897491,39827000
27/7/2020,201.4700012,203.9700012,200.8600006,203.8500061,198.7762451,30160900
28/7/2020,203.6100006,204.6999969,201.7400055,202.0200043,196.9918365,23251400
29/7/2020,202.5,204.6499939,202.0099945,204.0599976,198.9810486,19632600
30/7/2020,201,204.4600067,199.5700073,203.8999939,198.8250122,25079600
31/7/2020,204.3999939,205.1000061,199.0099945,205.0099945,199.9073792,51044000
3/8/2020,211.5200043,217.6399994,210.4400024,216.5399933,211.1504059,78983000
4/8/2020,214.1699982,214.7700043,210.3099976,213.2899933,207.9813232,49280100
5/8/2020,214.8999939,215,211.5700073,212.9400024,207.6400146,28806400
6/8/2020,212.3399963,216.3699951,211.5500031,216.3500061,210.9651489,32656800
7/8/2020,214.8500061,215.6999969,210.9299927,212.4799957,207.191452,27820400
10/8/2020,211.6699982,211.8800049,206.3500061,208.25,203.0667572,36716500
11/8/2020,207.1600037,207.6499939,203.1399994,203.3800049,198.3179626,36446500
12/8/2020,205.2899933,210.2799988,204.75,209.1900024,203.9833679,28013100
13/8/2020,209.4400024,211.3500061,208.1499939,208.6999969,203.5055542,22588900
14/8/2020,208.7599945,209.5899963,207.5099945,208.8999939,203.700592,17958900
17/8/2020,209.6000061,211.1900024,208.9199982,210.2799988,205.0462494,20184800
18/8/2020,210.5299988,212.3600006,209.2100067,211.4900055,206.22612,21336200
19/8/2020,211.4900055,212.1000061,209.25,209.6999969,204.9749451,27627600
20/8/2020,209.5399933,215,208.9100037,214.5800018,209.7449799,26981500
21/8/2020,213.8600006,216.25,212.8500061,213.0200043,208.2201538,36249300
24/8/2020,214.7899933,215.5200043,212.4299927,213.6900024,208.8750763,25460100
25/8/2020,213.1000061,216.6100006,213.1000061,216.4700012,211.5924072,23043700
26/8/2020,217.8800049,222.0899963,217.3600006,221.1499939,216.1669922,39600800
27/8/2020,222.8899994,231.1499939,219.3999939,226.5800018,221.4745941,57602200
28/8/2020,228.1799927,230.6399994,226.5800018,228.9100037,223.7521362,26292900
31/8/2020,227,228.6999969,224.3099976,225.5299988,220.4482727,28774200
1/9/2020,225.5099945,227.4499969,224.4299927,227.2700043,222.1490631,25725500
2/9/2020,227.9700012,232.8600006,227.3500061,231.6499939,226.4303589,34080800
3/9/2020,229.2700043,229.3099976,214.9600067,217.3000031,212.403717,58400300
4/9/2020,215.1000061,218.3600006,205.1900024,214.25,209.4224396,59664100
8/9/2020,206.5,210.0299988,202.1999969,202.6600037,198.0936127,52924300
9/9/2020,207.6000061,214.8399963,206.6999969,211.2899933,206.5291138,45679000
10/9/2020,213.3999939,214.7400055,204.1100006,205.3699951,200.7425232,35461500
11/9/2020,207.1999969,208.6300049,201.2400055,204.0299988,199.4327087,33620100
14/9/2020,204.2400055,209.1999969,204.0299988,205.4100037,200.7816467,30375800
15/9/2020,208.4199982,209.7799988,206.9299927,208.7799988,204.0756989,21823900
16/9/2020,210.6199951,210.6499939,204.6399994,205.0500031,200.4297485,26328100
17/9/2020,200.0500031,204.3300018,199.9600067,202.9100037,198.3379669,34011300
18/9/2020,202.8000031,203.6499939,196.25,200.3899994,195.8747253,55225300
21/9/2020,197.1900024,202.7100067,196.3800049,202.5399933,197.9763031,39839700
22/9/2020,205.0599976,208.1000061,202.0800018,207.4199982,202.7463379,33517100
23/9/2020,207.8999939,208.1000061,200.0299988,200.5899963,196.0701904,30803800
24/9/2020,199.8500061,205.5700073,199.1999969,203.1900024,198.6116333,31202500
25/9/2020,203.5500031,209.0399933,202.5399933,207.8200073,203.1373444,29437300
28/9/2020,210.8800049,212.5700073,208.0599976,209.4400024,204.7208405,32004900
29/9/2020,209.3500061,210.0700073,206.8099976,207.2599945,202.5899506,24221900
30/9/2020,207.7299957,211.9799957,206.5399933,210.3300018,205.5907593,33829100
1/10/2020,213.4900055,213.9900055,211.3200073,212.4600067,207.67276,27158400
2/10/2020,208,210.9900055,205.5399933,206.1900024,201.5440521,33154800
5/10/2020,207.2200012,210.4100037,206.9799957,210.3800049,205.6396484,21331600
6/10/2020,208.8200073,210.1799927,204.8200073,205.9100037,201.2703552,28554300
7/10/2020,207.0599976,210.1100006,206.7200012,209.8300018,205.1020508,25681100
8/10/2020,210.5099945,211.1900024,208.3200073,210.5800018,205.8351593,19925800
9/10/2020,211.2299957,215.8600006,211.2299957,215.8099976,210.9472961,26458000
12/10/2020,218.7899933,223.8600006,216.8099976,221.3999939,216.4113617,40461400
13/10/2020,222.7200012,225.2100067,220.4299927,222.8600006,217.8384094,28950800
14/10/2020,223,224.2200012,219.1300049,220.8600006,215.8835297,23421700
15/10/2020,217.1000061,220.3600006,216.0099945,219.6600037,214.710556,22733100
16/10/2020,220.1499939,222.2899933,219.3200073,219.6600037,214.710556,26057900
19/10/2020,220.4199982,222.3000031,213.7200012,214.2200012,209.3930969,27625800
20/10/2020,215.8000031,217.3699951,213.0899963,214.6499939,209.813446,22753500
21/10/2020,213.1199951,216.9199982,213.1199951,214.8000031,209.9600372,22724900
22/10/2020,213.9299927,216.0599976,211.6999969,214.8899994,210.0480347,22351500
23/10/2020,215.0299988,216.2799988,213.1600037,216.2299957,211.3578033,18879600
26/10/2020,213.8500061,216.3399963,208.1000061,210.0800018,205.346405,37111600
27/10/2020,211.5899963,214.6699982,210.3300018,213.25,208.4449768,36700300
28/10/2020,207.6699982,208.8399963,202.1000061,202.6799927,198.1131592,51195600
29/10/2020,204.0700073,207.3600006,203.3699951,204.7200012,200.1071777,31432600
30/10/2020,203.5,204.2899933,199.6199951,202.4700012,197.9078522,36953700
2/11/2020,204.2899933,205.2799988,200.1199951,202.3300018,197.7710266,30842200
3/11/2020,203.8899994,208.1199951,203.1199951,206.4299927,201.7786255,27512000
4/11/2020,214.0200043,218.3200073,212.4199982,216.3899994,211.5142212,42311800
5/11/2020,222.0399933,224.1199951,221.1499939,223.2899933,218.2587433,36080100
6/11/2020,222.2599945,224.3600006,218.0299988,223.7200012,218.6790619,25231900
9/11/2020,224.4400024,228.1199951,217.8800049,218.3899994,213.469162,44395000
10/11/2020,214.5,216.5,209.7200012,211.0099945,206.2554321,44045100
11/11/2020,212.3899994,218.0399933,212.1999969,216.5500031,211.6706238,29440800
12/11/2020,217.2100067,219.1100006,214.4600067,215.4400024,210.5856018,21593900
13/11/2020,216.3600006,217.4199982,214.1600037,216.5099945,211.6315155,18621100
16/11/2020,214.8699951,217.7400055,214.5200043,217.2299957,212.3352661,24953300
17/11/2020,216.1000061,217.6799927,214.0800018,214.4600067,209.6277161,24154100
18/11/2020,213.6499939,215.1699982,210.9299927,211.0800018,206.8640594,28372800
19/11/2020,211.3800049,213.0299988,209.9299927,212.4199982,208.1772766,24792700
20/11/2020,212.1999969,213.2899933,210,210.3899994,206.1878052,22843100
23/11/2020,210.9499969,212.2899933,208.1600037,210.1100006,205.9134064,25683500
24/11/2020,209.5899963,214.25,208.8600006,213.8600006,209.588501,33979700
25/11/2020,215.1100006,215.2899933,212.4600067,213.8699951,209.5983124,21012900
27/11/2020,214.8500061,216.2700043,214.0399933,215.2299957,210.9311676,14512200
30/11/2020,214.1000061,214.7599945,210.8399963,214.0700073,209.7942963,33064800
1/12/2020,214.5099945,217.3200073,213.3500061,216.2100067,211.8916016,30904500
2/12/2020,214.8800049,215.4700012,212.8000031,215.3699951,211.0683594,23724500
3/12/2020,214.6100006,216.3800049,213.6499939,214.2400055,209.9609222,25120900
4/12/2020,214.2200012,215.3800049,213.1799927,214.3600006,210.0785065,24666000
7/12/2020,214.3699951,215.5399933,212.9900055,214.2899933,210.009903,24620000
8/12/2020,213.9700012,216.9499969,212.8899994,216.0099945,211.6955719,23284100
9/12/2020,215.1600037,215.2299957,211.2100067,211.8000031,207.5696716,32440600
10/12/2020,211.7700043,213.0800018,210.3600006,210.5200043,206.3152313,26733300
11/12/2020,210.0500031,213.3200073,209.1100006,213.2599945,209.0004578,30979400
14/12/2020,213.1000061,216.2100067,212.8800049,214.1999969,209.9217072,28798400
15/12/2020,215.1699982,215.4199982,212.2400055,214.1300049,209.8531189,27000600
16/12/2020,214.75,220.1100006,214.7200012,219.2799988,214.9002533,35023300
17/12/2020,219.8699951,220.8899994,217.9199982,219.4199982,215.0374451,32515800
18/12/2020,218.5899963,219.6900024,216.0200043,218.5899963,214.2240295,63354900
21/12/2020,217.5500031,224,217.2799988,222.5899963,218.144165,37181900
22/12/2020,222.6900024,225.6300049,221.8500061,223.9400024,219.4671783,22612200
23/12/2020,223.1100006,223.5599976,220.8000031,221.0200043,216.6054993,18699600
24/12/2020,221.4199982,223.6100006,221.1999969,222.75,218.3009491,10550600
28/12/2020,224.4499969,226.0299988,223.0200043,224.9600067,220.4667969,17933500
29/12/2020,226.3099976,227.1799927,223.5800018,224.1499939,219.6730042,17403200
30/12/2020,225.2299957,225.6300049,221.4700012,221.6799927,217.2523041,20272300
31/12/2020,221.6999969,223,219.6799927,222.4199982,217.9775238,20942100
4/1/2021,222.5299988,223,214.8099976,217.6900024,213.3419952,37130100
5/1/2021,217.2599945,218.5200043,215.6999969,217.8999939,213.547821,23823000
6/1/2021,212.1699982,216.4900055,211.9400024,212.25,208.0106659,35930700
7/1/2021,214.0399933,219.3399963,213.7100067,218.2899933,213.9300385,27694500
8/1/2021,218.6799927,220.5800018,217.0299988,219.6199951,215.23349,22956200
11/1/2021,218.4700012,218.9100037,216.7299957,217.4900055,213.1460114,23031300
12/1/2021,216.5,217.1000061,213.3200073,214.9299927,210.6371307,23249300
13/1/2021,214.0200043,216.7599945,213.9299927,216.3399963,212.0189819,20087100
14/1/2021,215.9100037,217.4600067,212.7400055,213.0200043,208.765274,29480800
15/1/2021,213.5200043,214.5099945,212.0299988,212.6499939,208.4026794,31746500
19/1/2021,213.75,216.9799957,212.6300049,216.4400024,212.1169586,30480900
20/1/2021,217.6999969,225.7899933,217.2899933,224.3399963,219.8591766,37777300
21/1/2021,224.6999969,226.3000031,222.4199982,224.9700012,220.476593,30709400
22/1/2021,227.0800018,230.0700073,225.8000031,225.9499969,221.4370117,30172700
25/1/2021,229.1199951,229.7799988,224.2200012,229.5299988,224.9455261,33152100
26/1/2021,231.8600006,234.1799927,230.0800018,232.3300018,227.6896057,49169600
27/1/2021,238,240.4400024,230.1399994,232.8999939,228.2481995,69870600
28/1/2021,235.6100006,242.6399994,235.0899963,238.9299927,234.1577606,49111200
29/1/2021,235.9900055,238.0200043,231.3500061,231.9600067,227.3269958,42503100
1/2/2021,235.0599976,242.5,232.4299927,239.6499939,234.8633881,33314200
2/2/2021,241.3000031,242.3099976,238.6900024,239.5099945,234.7261963,25916300
3/2/2021,239.5700073,245.0899963,239.2599945,243,238.1464996,27158100
4/2/2021,242.6600037,243.2400055,240.3699951,242.0099945,237.1762695,25296100
5/2/2021,242.2299957,243.2799988,240.4199982,242.1999969,237.3624725,18054800
8/2/2021,243.1499939,243.6799927,240.8099976,242.4700012,237.6271057,22211900
9/2/2021,241.8699951,244.7599945,241.3800049,243.7700043,238.9011078,23565000
10/2/2021,245,245.9199982,240.8899994,242.8200073,237.9700928,22186700
11/2/2021,244.7799988,245.1499939,242.1499939,244.4900055,239.6067352,15751100
12/2/2021,243.9299927,245.3000031,242.7299957,244.9900055,240.0967407,16561100
16/2/2021,245.0299988,246.1300049,242.9199982,243.6999969,238.832489,26728500
17/2/2021,241.3200073,244.3099976,240.9400024,244.1999969,239.8737183,21653500
18/2/2021,241.8000031,243.9299927,240.8600006,243.7899933,239.4709778,16925600
19/2/2021,243.75,243.8600006,240.1799927,240.9700012,236.700943,25262600
22/2/2021,237.4199982,237.9299927,232.3999939,234.5099945,230.3553772,36446900
23/2/2021,230.3300018,234.8300018,228.7299957,233.2700043,229.1373596,30228700
24/2/2021,230.0099945,235.1999969,229,234.5500031,230.3946686,26339700
25/2/2021,232.0800018,234.5899963,227.8800049,228.9900055,224.9331818,39542200
26/2/2021,231.5299988,235.3699951,229.5399933,232.3800049,228.2631226,37819200
1/3/2021,235.8999939,237.4700012,233.1499939,236.9400024,232.7423706,25324000
2/3/2021,237.0099945,237.3000031,233.4499969,233.8699951,229.7267151,22812500
3/3/2021,232.1600037,233.5800018,227.2599945,227.5599976,223.5284882,34029500
4/3/2021,226.7400055,232.4900055,224.2599945,226.7299957,222.7132111,44727800
5/3/2021,229.5200043,233.2700043,226.4600067,231.6000061,227.4969177,41872800
8/3/2021,231.3699951,233.3699951,227.1300049,227.3899994,223.3615417,35267400
9/3/2021,232.8800049,235.3800049,231.6699982,233.7799988,229.6383057,33080500
10/3/2021,237,237,232.0399933,232.4199982,228.3024139,29746800
11/3/2021,234.9600067,239.1699982,234.3099976,237.1300049,232.9289856,29907600
12/3/2021,234.0099945,235.8200073,233.2299957,235.75,231.57341,22653700
15/3/2021,234.9600067,235.1900024,231.8099976,234.8099976,230.6500702,26034900
16/3/2021,236.2799988,240.0599976,235.9400024,237.7100067,233.4987183,28092200
17/3/2021,236.1499939,238.5500031,233.2299957,237.0399933,232.8405457,29562100
18/3/2021,232.5599976,234.1900024,230.3300018,230.7200012,226.6325378,34833000
19/3/2021,231.0200043,232.4700012,229.3500061,230.3500061,226.269104,46430700
22/3/2021,230.2700043,236.8999939,230.1399994,235.9900055,231.8091736,30127000
23/3/2021,237.4900055,241.0500031,237.0700073,237.5800018,233.3710022,31638400
24/3/2021,237.8500061,238,235.3200073,235.4600067,231.288559,25620100
25/3/2021,235.3000031,236.9400024,231.5700073,232.3399963,228.2238159,34061900
26/3/2021,231.5500031,236.7100067,231.5500031,236.4799957,232.2904816,25479900
29/3/2021,236.5899963,236.8000031,231.8800049,235.2400055,231.0724792,25227500
30/3/2021,233.5299988,233.8500061,231.1000061,231.8500061,227.7425232,24792000
31/3/2021,232.9100037,239.1000061,232.3899994,235.7700043,231.5930786,43623500
1/4/2021,238.4700012,242.8399963,238.0500031,242.3500061,238.0565033,30338000
5/4/2021,242.7599945,249.9600067,242.6999969,249.0700073,244.6574707,36910600
6/4/2021,247.6100006,249.3999939,246.8800049,247.8600006,243.4688873,22931900
7/4/2021,247.8099976,250.9299927,247.1900024,249.8999939,245.4727325,22719800
8/4/2021,252.7700043,254.1399994,252,253.25,248.763382,23625200
9/4/2021,252.8699951,255.9900055,252.4400024,255.8500061,251.317337,24326800
12/4/2021,254.7100067,257.6700134,254.6199951,255.9100037,251.3762512,27148700
13/4/2021,257.2600098,259.1900024,256.8299866,258.4899902,253.910553,23837500
14/4/2021,257.480011,258.8299866,255.1600037,255.5899963,251.0619049,23070900
15/4/2021,257.9299927,259.9299927,257.730011,259.5,254.9026337,25627500
16/4/2021,259.4700012,261,257.6000061,260.7399902,256.1207275,24878600
19/4/2021,260.1900024,261.480011,257.8200073,258.7399902,254.1561279,23209300
20/4/2021,257.8200073,260.2000122,256.8399963,258.2600098,253.6846466,19722900
21/4/2021,258.9400024,260.6799927,257.25,260.5799866,255.9635315,24030400
